,CO(GT),PT08.S1(CO),C6H6(GT),PT08.S2(NMHC),NOx(GT),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,day,month,day_of_week,hour,year
0,0.211864406779661,0.5118449389806174,0.22692307692307695,0.4082512315270935,0.11824080749819754,0.49333333333333335,0.5130395683453237,0.45561357702349864,0.33333333333333337,0.49937106918238994,0.2800664614181694,0.3,3,3,18,2004
1,0.16101694915254236,0.46302943287867915,0.17884615384615388,0.35221674876847286,0.07281903388608507,0.4,0.45323741007194246,0.3268059181897302,0.32688172043010755,0.48427672955974854,0.2642818746029419,0.3,3,3,19,2004
2,0.17796610169491525,0.5419956927494616,0.17115384615384616,0.3423645320197044,0.09300648882480173,0.4977777777777778,0.45143884892086333,0.3711923411662315,0.2967741935483871,0.5635220125786164,0.276352440991057,0.3,3,3,20,2004
3,0.17796610169491525,0.5233309404163676,0.17500000000000002,0.3479064039408867,0.12256669069935111,0.5333333333333334,0.46447841726618705,0.42732811140121846,0.2774193548387097,0.638993710691824,0.29418951277916233,0.3,3,3,21,2004
4,0.1271186440677966,0.4486719310839914,0.12307692307692308,0.27894088669950734,0.09300648882480173,0.5066666666666667,0.4222122302158274,0.386858137510879,0.2817204301075269,0.6339622641509435,0.2952157552656013,0.3,3,3,22,2004
5,0.09322033898305083,0.3948312993539125,0.08846153846153848,0.22598522167487686,0.06272530641672674,0.41777777777777775,0.3785971223021583,0.3167972149695387,0.2817204301075269,0.628930817610063,0.29326100767238433,0.3,3,3,23,2004
6,0.09322033898305083,0.38621679827709987,0.06730769230769232,0.18903940886699508,0.043258832011535686,0.3333333333333333,0.3516187050359712,0.22280243690165358,0.28387096774193554,0.5987421383647799,0.28128817866392997,0.3333333333333333,3,4,0,2004
7,0.07627118644067796,0.3510409188801149,0.061538461538461535,0.17795566502463053,0.043258832011535686,0.3288888888888889,0.3516187050359712,0.221496953872933,0.2709677419354839,0.638993710691824,0.28612617895714215,0.3333333333333333,3,4,1,2004
8,0.06779661016949153,0.32089016511127066,0.04230769230769231,0.13916256157635468,0.031002162941600575,0.2577777777777778,0.3259892086330935,0.17362924281984332,0.2709677419354839,0.6352201257861636,0.28348726970629917,0.3333333333333333,3,4,2,2004
9,0.0423728813559322,0.2605886575735822,0.03076923076923077,0.10960591133004924,0.10021629416005767,0.41777777777777775,0.3075539568345324,0.12184508268059183,0.2623655913978495,0.6415094339622642,0.2770854713385134,0.3333333333333333,3,4,3,2004
10,0.11864406779661016,0.2613065326633166,0.023076923076923078,0.08866995073891623,0.0136986301369863,0.14222222222222222,0.2904676258992806,0.09747606614447346,0.25806451612903225,0.6452830188679246,0.2745442994673313,0.3333333333333333,3,4,4,2004
11,0.05084745762711864,0.3007896625987079,0.019230769230769232,0.07943349753694581,0.010093727469358327,0.11555555555555555,0.2837230215827338,0.08746736292428198,0.2774193548387097,0.5911949685534592,0.26970629917411915,0.3333333333333333,3,4,5,2004
12,0.05084745762711864,0.2907394113424264,0.028846153846153848,0.10467980295566501,0.023071377072819033,0.20444444444444443,0.30125899280575547,0.10922541340295908,0.2666666666666667,0.6150943396226416,0.26907100620632357,0.3333333333333333,3,4,6,2004
13,0.0847457627118644,0.35678391959798994,0.05961538461538462,0.17487684729064037,0.0692141312184571,0.35555555555555557,0.3543165467625899,0.221496953872933,0.2602150537634409,0.6339622641509435,0.27219860235547083,0.3333333333333333,3,4,7,2004
14,0.16101694915254236,0.49246231155778897,0.15192307692307694,0.3183497536945813,0.1240086517664023,0.4888888888888889,0.43435251798561153,0.3833768494342907,0.27311827956989254,0.6062893081761007,0.271758784146997,0.3333333333333333,3,4,8,2004
15,0.17796610169491525,0.5053840631730079,0.1807692307692308,0.3552955665024631,0.09156452775775054,0.44,0.4640287769784173,0.35117493472584854,0.2666666666666667,0.6465408805031447,0.2855886233690075,0.3333333333333333,3,4,9,2004
